rank,feature_id,role,support_pairs,sign,harmful_delta,donor_value,recipient_value,description,density,url
1,15169,critical_core,,donor_higher,12.278522491455078,22.30991554260254,10.031393051147461,key phrases and indicators of parental concerns and decision-making processes,0.00867,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/15169
2,12963,critical_core,,donor_higher,7.329527854919434,7.329527854919434,0.0,requests for action or information in a procedural context,0.00655,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/12963
7,14991,critical_core,,donor_higher,5.075675010681152,5.075675010681152,0.0,queries and requests for confirmation or clarification in discussions,0.01045,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/14991
9,12704,critical_core,,recipient_higher,-4.579244136810303,0.0,4.579244136810303,features and elements related to software and its functionality,0.007850000000000001,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/12704
10,8754,support_candidate,"10+22,10+31",donor_higher,4.640984535217285,4.640984535217285,0.0,"information about specific individuals, particularly athletes and their backgrounds",0.00309,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/8754
14,8775,critical_core,,donor_higher,4.049808502197266,4.049808502197266,0.0,requests or commands directed at others,0.00369,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/8775
16,4339,critical_core,,donor_higher,3.8497016429901123,3.8497016429901123,0.0,expressions indicating agreement or ongoing actions,0.00884,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/4339
20,4326,critical_core,,recipient_higher,-3.798692226409912,0.0,3.798692226409912,indicators of procedural processes and evaluations in contexts such as health and community services,0.00831,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/4326
22,9149,support_candidate,"10+22,22+23,22+29",recipient_higher,-3.7410659790039062,8.191301345825195,11.932367324829102,key phrases related to established organizations and their foundations,0.00877,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/9149
23,7531,support_candidate,"22+23,23+31",donor_higher,3.6762232780456543,3.6762232780456543,0.0,"sections of code, specifically highlighting variable declarations and control structures in programming",0.00251,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/7531
24,9135,critical_core,,donor_higher,3.657808780670166,3.657808780670166,0.0,references to file and package management in a coding environment,0.01968,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/9135
25,13622,critical_core,,recipient_higher,-3.5939531326293945,0.0,3.5939531326293945,phrases related to limits and convergence in mathematical contexts,0.01569,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13622
27,12652,critical_core,,donor_higher,3.5500853061676025,3.5500853061676025,0.0,elements related to API requests and responses in code,0.00713,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/12652
28,1338,critical_core,,donor_higher,3.542052745819092,3.542052745819092,0.0,titles and roles related to leadership in marketing,0.00227,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/1338
29,321,support_candidate,22+29,donor_higher,3.5058860778808594,3.5058860778808594,0.0,phrases and connections related to reasoning and justification,0.00492,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/321
31,1813,support_candidate,"10+31,23+31",donor_higher,3.4750499725341797,3.4750499725341797,0.0,expressive statements of excitement and emotion,0.00286,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/1813
33,6289,critical_core,,recipient_higher,-3.4215378761291504,0.0,3.4215378761291504,phrases related to organizational structure and leadership transitions,0.00316,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/6289
