rank,feature_id,model_id,source_id,url,description,explanation_model,explanation_type,frac_nonzero,max_act_approx,positive_logits,negative_logits
1,15169,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/15169,key phrases and indicators of parental concerns and decision-making processes,gpt-4o-mini,oai_token-act-pair,0.00867,31.723,▁I:2 | ▁my:1.86 | ▁me:1.77 | ▁tôi:1.61 | ▁conmigo:1.53 | 私は:1.51 | ▁saya:1.48 | ▁meines:1.45,▁pinulongan:-0.582 | ▁IndexPath:-0.574 | GraphicsUnit:-0.574 | rungsseite:-0.562 | newswire:-0.559 | parsedMessage:-0.531 | TextSpan:-0.508 | ▁Numerade:-0.504
2,12963,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/12963,requests for action or information in a procedural context,gpt-4o-mini,oai_token-act-pair,0.00655,42.045,<strong>:1.38 | <b>:1.3 | ▁**:1.06 | ▁NOT:0.875 | **:0.84 | ▁*:0.797 | ▁ONLY:0.789 | <u>:0.777,VERTISEMENT:-0.914 | ▁resourceCulture:-0.84 | IBLIO:-0.805 | ▁IBRARY:-0.805 | ▁NDEBUG:-0.77 | PERATURE:-0.766 | ▁الحره:-0.766 | ▁betweenstory:-0.754
3,13060,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,references to notable relationships or marriages,gpt-4o-mini,oai_token-act-pair,0.00336,20.978,AddTagHelper:0.766 | principalColumn:0.723 | ▁unknownFields:0.652 | TypedDataSet:0.625 | SourceChecksum:0.598 | ▁GenerationType:0.59 | ▁ExecuteAsync:0.59 | ▁invokingState:0.574,assertions:-0.523 | beza:-0.5 | esub:-0.48 | eezy:-0.465 | akhstan:-0.447 | Begriffsklä:-0.443 | LayoutStyle:-0.432 | ▁tere:-0.422
4,6169,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/6169,"references to medical conditions and treatments, particularly relating to pregnancy",gpt-4o-mini,oai_token-act-pair,0.00997,17.118,rungsseite:0.969 | ▁متعلقه:0.859 | ▁يتيمه:0.824 | ▁EconPapers:0.793 | MemoryWarning:0.742 | queryInterface:0.73 | Autoritní:0.723 | WriteTagHelper:0.691,▁not:-2 | ▁não:-1.8 | ▁nicht:-1.68 | ▁NOT:-1.62 | not:-1.62 | ▁tidak:-1.62 | ▁ikke:-1.57 | ▁niet:-1.56
5,13882,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13882,numeric values and their contextual references in various documents,gpt-4o-mini,oai_token-act-pair,0.47107,117.355,▁nahilalakip:0.535 | ⓧ:0.512 | ^(@):0.488 | NUMX:0.484 | RenderAtEndOf:0.484 | StoryboardSegue:0.479 | ▁tartalomajánló:0.459 | ▁lenker:0.451,"<bos>:-0.938 | 

:-0.352 | .:-0.342 | vo:-0.336 | ,:-0.33 | ’:-0.33 | ko:-0.324 | om:-0.322"
6,9407,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/9407,phrases related to self-reflection and personal growth,gpt-4o-mini,oai_token-act-pair,0.01034,29.566,let:0.672 | Welcome:0.656 | lets:0.652 | ▁lets:0.633 | Lets:0.59 | welcome:0.59 | Let:0.555 | ▁let:0.555,afficheront:-0.766 | urlpatterns:-0.727 | sizeCache:-0.723 | LookAnd:-0.715 | ///</:-0.695 | ▁становника:-0.668 | ConstraintMaker:-0.66 | addCriterion:-0.652
7,14991,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/14991,queries and requests for confirmation or clarification in discussions,gpt-4o-mini,oai_token-act-pair,0.01045,61.495,"▁myſelf:0.898 | ▁Monfieur:0.844 | ▁Мексичка:0.824 | ▁Efq:0.75 | windowFixed:0.73 | ▁Jefus:0.723 | ]"")]:0.703 | ▁itſelf:0.691",▁am:-0.648 | ▁you:-0.582 | ▁Am:-0.566 | Hochspringen:-0.516 | 您:-0.496 | Am:-0.488 | ▁kamu:-0.475 | ▁Anda:-0.473
8,5355,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/5355,references to automotive manufacturing and production specifics,gpt-4o-mini,oai_token-act-pair,0.00395,27.585,TestingModule:0.539 | 脚注の使い方:0.512 | ▁tutu:0.5 | Lähteet:0.498 | ▁Guanajuato:0.488 | jerg:0.473 | ▁getItem:0.473 | ▁Tiles:0.461,▁مشين:-0.816 | RetentionPolicy:-0.766 | PerformLayout:-0.711 | تقاوى:-0.668 | ▁Walkover:-0.652 | ▁AssemblyTitle:-0.602 | ▁ProtoMessage:-0.57 | ▁autorytatywna:-0.562
9,12704,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/12704,features and elements related to software and its functionality,gpt-4o-mini,oai_token-act-pair,0.007850000000000001,30.013,▁you:2.69 | ▁your:2.12 | you:2 | your:1.91 | Your:1.69 | ▁Your:1.67 | You:1.65 | ▁You:1.59,verwijspagina:-0.785 | ▁<<<<<<<<<<<<<<:-0.75 | ▁bezeichneter:-0.742 | PreferredItem:-0.695 | رشف:-0.633 | cheibe:-0.625 | DispatchToProps:-0.625 | ▁AssemblyCompany:-0.605
10,8754,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/8754,"information about specific individuals, particularly athletes and their backgrounds",gpt-4o-mini,oai_token-act-pair,0.00309,74.406,▁ángel:0.512 | ▁anjo:0.475 | ▁relâche:0.473 | ▁Otta:0.465 | getch:0.455 | ▁gena:0.445 | databind:0.436 | ▁pageNo:0.432,ьаж:-0.715 | లాలు:-0.703 | ▁estekak:-0.695 | ▁الرياضيه:-0.684 | ▁nahilalakip:-0.676 | tanleria:-0.664 | LEncoder:-0.645 | Portale:-0.645
